"part_id";"part_name";"cust_id";"cust_id_id"
"150608";"CATAPLASM TEST";"amst";""
"318x150x180(in mm)";"DAU Enclosure/ Exterior painting with PU Black matt Finish, Size";"slnt";""
"4316";"AIR ADAPTOR-NH00001570684";"hite";""
"4344";"SUPPORT CASTING BRACKET AGTU-NH00001762693";"hite";""
"4348";"SUPPORT CASTING BRACKET TRANSFORMER-NH00001762423";"hite";""
"4431";"SUPPORT CASTING BRACKET TRANSFORMER";"hite";""
"4617";"BRACKET-NH00001763534";"hite";""
"4618";"BRACKET-NH00001763511";"hite";""
"4650";"BRACKET-NH00002647283";"hite";""
"A14-01M";"UPPER SPRING SEAT MACHINED";"side";""
"A14-01M(Rework)";"SPRING SEAT : UPPER REWORK";"side";""
"A14-01M1";"LOWER SPRING SEAT MACHINED";"side";""
"A14-01M1(Rework)";"SPRING SEAT : LOWER REWORK";"side";""
"A14-02M";"LIFTING HOOK MACHINED";"side";""
"A14-02M1";"LIFTING HOOK MACHINED";"side";""
"A14-03M";"ROD ASSEMBLY SUSPENSION MACHINED";"side";""
"A14-04M";"ROD ASSEMBLY MOTOR ASSEMBLED";"side";""
"A14-05M";"PIVOT BOGIE MACHINED";"side";""
"A14-07M";"TRACTION BAR MACHIED";"side";""
"A14-09M";"LIFTING STOP-RAL9005 MACHINED";"side";""
"A14-09M1";"LIFTING STOP-RAL7016 MACHINED";"side";""
"A14-09M2";"LIFTING STOP-RAL7012 MACHINED";"side";""
"A14-10M";"BREAK SUPPORT FS LH MACHINED";"side";""
"A14-10M1";"BREAK SUPPORT FI RH MACHINED";"side";""
"A14-12";"LIFTING STOP MACHNED";"side";""
"A14-13M";"DAMPER BRACKET MACHINED";"side";""
"A14-14M";"STOP WASHER MACHINED";"side";""
"AR00000175441";"REAR COVER";"icam";""
"AR00000176807";"ERMTS INTERMEDIATE COVER";"icam";""
"AR00000247343";"RELESE LEVER";"samu";""
"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";"amst";""
"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";"amst";""
"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";"side";""
"F5-61M";"COVER RETAINER, DISCHARGE, SIZE A/B/C WELL SERVICE PUMP MACHINED";"side";""
"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMPASSEMBLED";"side";""
"FRONT COVER";"BACK MOUNTING BRACKET BOTTOM COVER CABLE HOLDER MULTIPORT PLATE TOP COVER FRONT COVER";"pinn";""
"FWA-ALCR-001";"FREE WHEEL ACTUATOR (ALOCHROM#1200 REV 0)";"oeni";""
"OSAMC JD3MC";"CHASSIS ASSY ";"macr";""
"PEV-15-00083531";"LIFTING STOP MACHNED";"amst";""
"SI-7355";"RELESE LEVER";"samu";""
