"po_no";"po_date";"open_po";"open_po_validity";"cust_id";"quote_ref_no";"receiver_id";"consignee_id";"po_sl_no";"part_id";"qty";"qty_sent";"uom";"unit_price";"total_price";"cust_id_id"
"00017";"18-08-2023";0;"";"pinn";"";"pinn";"pinn";1;"FRONT COVER";1;0;"Nos";9295.0;0.0;""
"041/2023-2024";"2023-05-03";0;"";"samu";"";"samu";"samu";1;"SI-7355";330;1;"Nos";1224.0;0.0;""
"10570";"03-02-2023";0;"";"slnt";"";"slnt";"slnt";1;"318x150x180(in mm)";17;0;"Nos";7500.0;127500.0;""
"2022-23/00073";"06-04-2022";0;"";"hite";"";"hite";"hite";1;"4316";500;0;"Nos";1415.0;0.0;""
"2022-23/00075";"06-04-2022";0;"";"hite";"";"hite";"alst";1;"4344";106;0;"Nos";1240.0;131440.0;""
"2022-23/00075";"06-04-2022";0;"";"hite";"";"hite";"alst";2;"4348";220;0;"Nos";3880.0;853600.0;""
"2022-23/01548";"03-12-2022";0;"";"hite";"";"hite";"alst";1;"4617";558;0;"Nos";1420.0;792360.0;""
"2022-23/01548";"03-12-2022";0;"";"hite";"";"hite";"alst";2;"4618";238;0;"Nos";1705.0;405790.0;""
"2023-24/00015";"03-04-2023";0;"";"hite";"";"hite";"hite";1;"4316";520;0;"No";1415.0;735800.0;""
"2023-24/00016";"03-04-2023";0;"";"hite";"";"hite";"hite";1;"4431";158;0;"Nos";3880.0;0.0;""
"2023-24/00017";"03-04-2023";0;"";"hite";"";"hite";"hite";1;"4344";286;0;"No";1240.0;0.0;""
"2023-24/00017";"03-04-2023";0;"";"hite";"";"hite";"hite";2;"4348";208;0;"No";3880.0;0.0;""
"2023-24/00022";"04-04-2023";0;"";"hite";"";"hite";"hite";1;"4617";670;0;"Nos";1420.0;0.0;""
"2023-24/00022";"04-04-2023";0;"";"hite";"";"hite";"hite";2;"4618";288;0;"Nos";1705.0;0.0;""
"2023-24/01295";"25-09-2023";0;"";"hite";"";"hite";"alst";1;"4316";450;0;"Nos";1301.8;0.0;""
"2023-24/01296";"25-09-2023";0;"";"hite";"";"hite";"alst";1;"4650";1319;85;"Nos";1306.4;0.0;""
"2023-24/01297";"25-09-2023";0;"";"hite";"";"hite";"alst";1;"4344";118;0;"Nos";1140.8;0.0;""
"2023-24/01297";"25-09-2023";0;"";"hite";"";"hite";"alst";2;"4348";322;96;"Nos";3569.6;0.0;""
"2023-24/01298";"25-09-2023";0;"";"hite";"";"hite";"alst";1;"4431";76;0;"Nos";3569.6;0.0;""
"4100008086";"23-02-2022";0;"";"oeni";"";"oeni";"oeni";1;"FWA-ALCR-001";200;16;"Nos";500.0;0.0;""
"63/2020-2021";"18-06-2020";0;"";"amst";"";"amst";"amst";1;"AT00000461232,D";384;82;"Nos";18000.0;0.0;""
"63/2020-2021";"18-06-2020";0;"";"amst";"";"amst";"amst";2;"AT0000055373,B";384;68;"Nos";18000.0;0.0;""
"63/2020-2021";"18-06-2020";0;"";"amst";"";"amst";"amst";3;"PEV-15-00083531";384;0;"Nos";1820.0;0.0;""
"63/2020-2021";"18-06-2020";0;"";"amst";"";"amst";"amst";4;"150608";1;0;"Nos";21875.0;0.0;""
"MPC/WO/05/23-24 ";"21-06-2023";0;"";"macr";"";"macr";"macr";1;"OSAMC JD3MC";30;0;"Nos";2250.0;0.0;""
"MPC/WO/22/23-24 ";"22-09-2023";0;"";"macr";"";"macr";"macr";1;"OSAMC JD3MC";49;0;"Nos";2250.0;0.0;""
"PUR-ORD-22-23-0260";"05-04-2022";0;"";"icam";"";"icam";"icam";1;"AR00000176807";96;0;"Nos";883.0;84768.0;""
"PUR-ORD-22-23-0260";"05-04-2022";0;"";"icam";"";"icam";"icam";2;"AR00000175441";96;0;"Nos";1422.0;136512.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";1;"A14-02M";0;0;"Nos";400.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";2;"A14-02M1";0;0;"Nos";400.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";3;"A14-03M";0;0;"Nos";2200.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";4;"A14-01M1";0;0;"Nos";700.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";5;"A14-01M";0;0;"Nos";670.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";6;"A14-04M";0;0;"Nos";850.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";7;"A14-05M";0;0;"Nos";3000.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";8;"A14-07M";0;0;"Nos";15800.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";9;"A14-09M";0;0;"Nos";1690.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";10;"A14-01M1.";0;0;"Nos";700.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";11;"A14-01M.";0;0;"Nos";670.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";12;"A14-09M.";0;0;"Nos";1690.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";13;"A14-09M2";0;0;"Nos";1690.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";14;"A14-09M1";0;0;"Nos";1690.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";15;"A14-01M(Rework)";0;0;"Nos";670.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";16;"A14-01M1(Rework)";0;0;"Nos";700.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";17;"A14-10M";0;0;"Nos";2050.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";18;"A14-10M1";0;0;"Nos";2050.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";19;"F5-61";0;96;"Nos";697.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";20;"F5-67M";0;86;"Nos";250.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";21;"A14-12";0;0;"Nos";1670.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";22;"F5-61M1";0;0;"Nos";671.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";23;"A14-13M";0;0;"Nos";2000.0;0.0;""
"PUR/JW/2021000011";"03-12-2020";1;"31-12-2024";"side";"";"side";"side";24;"A14-14M";0;0;"Nos";1330.0;0.0;""
"SUB-PO1-23-24-0151";"05-09-2023";0;"";"icam";"";"icam";"icam";1;"AR00000175441";202;0;"Nos";1200.0;242400.0;""
